Rang;Wort;Haeufigkeit
1;initiative;253
2;gesetz;49
3;bundesbeschluss;38
4;gegenentwurf;28
5;ahv;25
6;einführung;19
7;betreffend;16
8;artikel;14
9;verfassungsartikel;14
10;aufhebung;14
11;massnahmen;14
12;revision;13
13;neuordnung;12
14;schutz;11
15;verbot;10
16;weiterführung;10
17;erhöhung;10
18;nationalrates;9
19;beschluss;8
20;finanzordnung;8
21;änderung;8
22;bundesverfassung;7
23;krankenversicherung;7
24;volksinitiative;7
25;bekämpfung;7
26;abkommen;7
27;finanzierung;7
28;mehrwertsteuer;7
29;reform;6
30;teil;5
